#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,libX11-devel,"is required for the compilation of some programs."
,sxhkd,"binds keys."
I,libXft-devel,"is required for the compilation of some programs."
I,gcr-devel,"is required for the compilation of some programs."
I,fontconfig-devel,"is required for the compilation of some programs."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,ranger-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,i3blocks,"is the status bar."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
V,font-symbola,"provides unicode and emoji symbols."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"is an audio interface for ALSA."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."


,emacs,"is an extensible text editor written in lisp."
,adobe-source-code-pro-fonts,"is a font package used by spacemacs."
A,insync,"syncs google drive to local disk."
,pandoc,"is a universal document converter."
A,nodejs-tern,"is A JavaScript code analyzer for deep, cross-editor language support."
,aspell,"is a spell checker designed to replace ispell and it is used by emacs."
,aspell-en,"is an English language package for aspell."
,docker,"is a utility to pack, ship and run any application as a lightweight container."
,docker-compose,
,openvpn,"is a VPN daemon."
A,1password-cli,"is a command line tool for the 1Password password manager."
,wget,"is a non-interactive network downloader."
,java-runtime-common,"is a package of common files for Java Runtime Environments"
,java-environment-common,"is a package of common files for Java Development Kits"
,jre-openjdk-headless,
,jdk-openjdk,
,sbt,
,scala,"is an object-functional programming and scripting language for general software applications. "
# get rid of "Can't locate AnyEvent/I3.pm in @INC (you may need to install the AnyEvent::I3 module)..." during i3-save-tree
,perl-anyevent-i3,
,postgresql,"is an object-relational database system."
A,pspg,"is a Unix pager designed for work with tables. Designed for PostgreSQL, but MySQL is supported too."
,keychain,"is an SSH and GPG key manager."
A,zoom,
,jq,
,surf,
,redshift,
,anki,
,texlive-most,"is LaTex package."
,texlive-lang,"is LaTex language package."
,pass,"is a password manager"
A,pass-import,
,virtualbox,"is a hypervisor used to run operating systems in a special environment"
